DateTime,PM10 (µg/m³),PM2 5 (µg/m³),NO2 (µg/m³)
01/01/2019 00:00,14.2,8.8,22.92
01/01/2019 01:00,14.1,8.4,21.97
01/01/2019 02:00,12.3,7.4,25.4
01/01/2019 03:00,12,7.1,27.12
01/01/2019 04:00,12.5,7,17.76
01/01/2019 05:00,11,6.7,19.29
01/01/2019 06:00,11.7,6.9,18.34
01/01/2019 07:00,12.3,7,22.35
01/01/2019 08:00,11.7,6.8,28.84
01/01/2019 09:00,12.5,7,29.22
01/01/2019 10:00,11.1,6.7,29.03
01/01/2019 11:00,10.5,7.1,31.32
01/01/2019 12:00,9.7,6.8,36.1
01/01/2019 13:00,7.4,5.3,45.27
01/01/2019 14:00,5.7,3.8,62.65
01/01/2019 15:00,8.7,7.1,95.12
01/01/2019 16:00,10.5,7.6,96.46
01/01/2019 17:00,18.4,11.2,94.35
01/01/2019 18:00,26.5,17.9,85.57
01/01/2019 19:00,25.9,16.2,76.02
01/01/2019 20:00,24.7,16.4,73.34
01/01/2019 21:00,30.3,22.4,76.97
01/01/2019 22:00,38.3,30.9,91.11
01/01/2019 23:00,34.2,27.6,78.5
02/01/2019 00:00,26.3,20.7,66.66
02/01/2019 01:00,29.5,23.6,59.59
02/01/2019 02:00,28.1,22.2,52.53
02/01/2019 03:00,25.7,20.5,49.66
02/01/2019 04:00,23.2,18.2,44.31
02/01/2019 05:00,22.6,17.1,44.5
02/01/2019 06:00,20.9,16.3,56.35
02/01/2019 07:00,12.2,7,70.1
02/01/2019 08:00,11.1,5.3,64.18
02/01/2019 09:00,12.9,5.9,76.21
02/01/2019 10:00,11.6,5.8,53.86
02/01/2019 11:00,12.3,7.5,35.91
02/01/2019 12:00,14.5,8.6,34.38
02/01/2019 13:00,12.7,7.8,30.37
02/01/2019 14:00,10,6.6,29.61
02/01/2019 15:00,9.2,5.4,29.22
02/01/2019 16:00,13,7.3,48.32
02/01/2019 17:00,16.7,9.4,49.66
02/01/2019 18:00,29.3,22,68
02/01/2019 19:00,43,32.2,80.79
02/01/2019 20:00,61.5,50.8,94.93
02/01/2019 21:00,74.1,63.2,104.29
02/01/2019 22:00,54.4,45.7,88.82
02/01/2019 23:00,23.1,18.1,32.66
03/01/2019 00:00,18.6,13.9,27.5
03/01/2019 01:00,14,10.6,20.44
03/01/2019 02:00,12.3,9.2,21.77
03/01/2019 03:00,10.9,7.4,16.81
03/01/2019 04:00,9.2,6.6,13.75
03/01/2019 05:00,9.7,6.8,13.37
03/01/2019 06:00,10.6,7.5,14.9
03/01/2019 07:00,12,8.2,20.25
03/01/2019 08:00,10.1,6.4,27.89
03/01/2019 09:00,10,4.3,29.22
03/01/2019 10:00,7.6,5.4,37.82
03/01/2019 11:00,7.5,4.4,41.64
03/01/2019 12:00,9.5,4.2,57.49
03/01/2019 13:00,7.9,3.8,44.12
03/01/2019 14:00,9,6.1,26.55
03/01/2019 15:00,11.4,6.7,41.26
03/01/2019 16:00,11.8,6.3,41.26
03/01/2019 17:00,7.7,5.3,40.68
03/01/2019 18:00,11.1,8.2,38.2
03/01/2019 19:00,18.2,13.1,76.02
03/01/2019 20:00,21.4,16.3,71.43
03/01/2019 21:00,17.6,14.4,50.23
03/01/2019 22:00,14.7,12.1,38.77
03/01/2019 23:00,11.5,8.8,35.34
04/01/2019 00:00,11.9,9.9,34.19
04/01/2019 01:00,9.5,7.3,19.67
04/01/2019 02:00,6.4,5,10.7
04/01/2019 03:00,7.4,5.7,10.51
04/01/2019 04:00,8.6,6.9,28.27
04/01/2019 05:00,8.7,6.1,34.38
04/01/2019 06:00,11.6,7.5,48.9
04/01/2019 07:00,13,8.5,47.37
04/01/2019 08:00,13.8,8.4,46.6
04/01/2019 09:00,14,8,40.87
04/01/2019 10:00,12.5,7.7,30.37
04/01/2019 11:00,12,8.1,41.26
04/01/2019 12:00,12.2,7.9,41.45
04/01/2019 13:00,12.5,8.5,33.43
04/01/2019 14:00,12.7,9.4,39.54
04/01/2019 15:00,16,11.3,42.4
04/01/2019 16:00,17.6,12.3,46.99
04/01/2019 17:00,17.8,12.4,46.8
04/01/2019 18:00,21.5,16,52.53
04/01/2019 19:00,22.7,19.2,51.38
04/01/2019 20:00,23.9,20.1,46.03
04/01/2019 21:00,24.8,20.9,55.39
04/01/2019 22:00,22.1,18,42.78
04/01/2019 23:00,24.9,20.8,42.98
05/01/2019 00:00,27,22.9,40.3
05/01/2019 01:00,17.8,14.9,29.03
05/01/2019 02:00,15.7,12.7,30.18
05/01/2019 03:00,17,13.9,33.23
05/01/2019 04:00,19.7,16.4,55.39
05/01/2019 05:00,17.4,15,57.87
05/01/2019 06:00,15.3,12.6,71.24
05/01/2019 07:00,13.7,9.6,72.01
05/01/2019 08:00,14.9,7.5,50.81
05/01/2019 09:00,NA,NA,NA
05/01/2019 10:00,NA,NA,NA
05/01/2019 11:00,NA,NA,NA
05/01/2019 12:00,NA,NA,NA
05/01/2019 13:00,NA,NA,36.48
05/01/2019 14:00,NA,NA,47.37
